region;comuna;cut;1;2;3;4;5;6;7;8;9;10;11;12
Arica y Parinacota;Arica;15101; 44.874 ; 62.129 ; 48.610 ; 65.594 ; 2.272 ; 3.449 ; 3.736 ; 3.465 ; 1.429 ; 1.311 ; 7.437 ; 8.225 
Arica y Parinacota;Camarones;15102; 327 ; 431 ; 352 ; 463 ; 115 ; 158 ; 25 ; 32 ; 10 ; 12 ; 150 ; 202 
Arica y Parinacota;Putre;15201; 492 ; 540 ; 519 ; 564 ; 109 ; 178 ; 27 ; 24 ; 7 ; 14 ; 143 ; 216 
Arica y Parinacota;General Lagos;15202; 255 ; 218 ; 265 ; 221 ; 60 ; 134 ; 10 ; 3 ; 18 ; 5 ; 88 ; 142 
Tarapacá;Iquique;1101; 38.843 ; 56.007 ; 43.576 ; 60.226 ; 1.160 ; 1.729 ; 4.733 ; 4.219 ; 1.619 ; 1.248 ; 7.512 ; 7.196 
Tarapacá;Alto Hospicio;1107; 12.673 ; 28.453 ; 13.267 ; 29.699 ; 3.141 ; 2.810 ; 594 ; 1.246 ; 465 ; 952 ; 4.200 ; 5.008 
Tarapacá;Pozo Almonte;1401; 2.484 ; 4.084 ; 2.566 ; 4.188 ; 272 ; 451 ; 82 ; 104 ; 79 ; 70 ; 433 ; 625 
Tarapacá;Camiña;1402; 391 ; 477 ; 401 ; 484 ; 191 ; 122 ; 10 ; 7 ; 13 ; 5 ; 214 ; 134 
Tarapacá;Colchane;1403; 460 ; 472 ; 479 ; 488 ; 322 ; 182 ; 19 ; 16 ; 9 ; 13 ; 350 ; 211 
Tarapacá;Huara;1404; 775 ; 943 ; 803 ; 965 ; 148 ; 241 ; 28 ; 22 ; 23 ; 18 ; 199 ; 281 
Tarapacá;Pica;1405; 971 ; 1.605 ; 1.035 ; 1.643 ; 104 ; 171 ; 64 ; 38 ; 19 ; 41 ; 187 ; 250 
Antofagasta;Antofagasta;2101; 66.151 ; 98.805 ; 72.851 ; 105.863 ; 1.489 ; 4.140 ; 6.700 ; 7.058 ; 3.058 ; 2.203 ; 11.247 ; 13.401 
Antofagasta;Mejillones;2102; 1.880 ; 3.050 ; 2.037 ; 3.430 ; 82 ; 237 ; 157 ; 380 ; 83 ; 102 ; 322 ; 719 
Antofagasta;Sierra Gorda;2103; 304 ; 343 ; 316 ; 358 ; 31 ; 46 ; 12 ; 15 ; 19 ; 9 ; 62 ; 70 
Antofagasta;Taltal;2104; 2.665 ; 3.495 ; 2.740 ; 3.627 ; 122 ; 291 ; 75 ; 132 ; 79 ; 62 ; 276 ; 485 
Antofagasta;Calama;2201; 31.182 ; 46.347 ; 35.937 ; 48.481 ; 831 ; 2.195 ; 4.755 ; 2.134 ; 1.468 ; 887 ; 7.054 ; 5.216 
Antofagasta;Ollagüe;2202; 66 ; 94 ; 66 ; 102 ; 8 ; 22 ; - ; 8 ; 8 ; 5 ; 16 ; 35 
Antofagasta;San Pedro de Atacama;2203; 1.211 ; 2.860 ; 1.339 ; 3.006 ; 68 ; 292 ; 128 ; 146 ; 43 ; 56 ; 239 ; 494 
Antofagasta;Tocopilla;2301; 6.177 ; 7.819 ; 6.663 ; 7.994 ; 161 ; 331 ; 486 ; 175 ; 212 ; 136 ; 859 ; 642 
Antofagasta;María Elena;2302; 2.095 ; 1.430 ; 2.158 ; 1.453 ; 90 ; 49 ; 63 ; 23 ; 92 ; 38 ; 245 ; 110 
Atacama;Copiapó;3101; 32.092 ; 45.533 ; 33.859 ; 46.895 ; 1.471 ; 1.703 ; 1.767 ; 1.362 ; 1.073 ; 692 ; 4.311 ; 3.757 
Atacama;Caldera;3102; 3.733 ; 5.659 ; 3.861 ; 5.821 ; 215 ; 352 ; 128 ; 162 ; 103 ; 95 ; 446 ; 609 
Atacama;Tierra Amarilla;3103; 2.916 ; 3.807 ; 3.124 ; 3.903 ; 332 ; 269 ; 208 ; 96 ; 67 ; 69 ; 607 ; 434 
Atacama;Chañaral;3201; 3.617 ; 3.688 ; 3.721 ; 3.752 ; 168 ; 188 ; 104 ; 64 ; 82 ; 87 ; 354 ; 339 
Atacama;Diego de Almagro;3202; 5.271 ; 4.515 ; 5.386 ; 4.595 ; 214 ; 120 ; 115 ; 80 ; 87 ; 34 ; 416 ; 234 
Atacama;Vallenar;3301; 12.593 ; 15.766 ; 13.247 ; 16.243 ; 543 ; 803 ; 654 ; 477 ; 373 ; 301 ; 1.570 ; 1.581 
Atacama;Alto del Carmen;3302; 1.509 ; 1.753 ; 1.544 ; 1.772 ; 279 ; 284 ; 35 ; 19 ; 39 ; 21 ; 353 ; 324 
Atacama;Freirina;3303; 1.608 ; 2.262 ; 1.635 ; 2.326 ; 226 ; 222 ; 27 ; 64 ; 40 ; 42 ; 293 ; 328 
Atacama;Huasco;3304; 2.242 ; 3.350 ; 2.307 ; 3.399 ; 202 ; 257 ; 65 ; 49 ; 65 ; 49 ; 332 ; 355 
Coquimbo;La Serena;4101; 41.212 ; 67.554 ; 43.447 ; 69.431 ; 1.124 ; 1.045 ; 2.235 ; 1.877 ; 1.128 ; 912 ; 4.487 ; 3.834 
